,slug,resort_name,state,base_elevation,base_public_lift_elevation,peak_public_lift_elevation,peak_elevation,max_lift_served_run_vert,advertised_acres,skiable_acres,public_skiable_acres,public_lift_served_skiable_acres,public_boundary_area,region
0,powder-mountain,Powder Mountain,Utah,6628.0,6900.0,9003,9400,2103.0,8464.0,8464,4000,2200,4000,Rockies
1,whistler-blackcomb,Whistler Blackcomb,British Columbia,2140.0,2140.0,7494,7494,5247.0,8171.0,8171,8171,7701,8550,Western Canada
2,park-city,Park City,Utah,6900.0,6900.0,9998,10026,2722.0,7300.0,7300,7300,6645,7500,Rockies
3,big-sky,Big Sky,Montana,6800.0,6800.0,11172,11172,4032.0,5850.0,5850,5850,5800,6500,Rockies
4,vail,Vail,Colorado,8120.0,8120.0,11570,11570,3130.0,5317.0,5317,5317,5252,8000,Rockies
5,deer-valley,Deer Valley,Utah,6500.0,6500.0,9570,9570,2585.0,,4900,4900,4900,4900,Rockies
6,sun-peaks,Sun Peaks,British Columbia,3930.0,3930.0,6850,6865,2920.0,4300.0,4270,4270,4270,4675,Western Canada
7,mount-bachelor,Mount Bachelor,Oregon,5700.0,5700.0,8956,9071,3256.0,4300.0,4000,4000,3935,4000,Pacific
8,palisades-tahoe,Palisades Tahoe,California,6220.0,6200.0,8738,9006,2254.0,6000.0,3725,3725,3177,3725,Pacific
9,lake-louise,Lake Louise,Alberta,5417.0,5417.0,8650,8650,3233.0,4200.0,3600,3600,3320,3600,Western Canada
10,snowmass,Snowmass,Colorado,8120.0,8120.0,12550,12550,4430.0,3342.0,3342,3342,3342,5450,Rockies
11,steamboat,Steamboat,Colorado,6893.0,6893.0,10537,10574,3644.0,3741.0,3300,3300,2985,3300,Rockies
12,silver-star,Silver Star,British Columbia,3740.0,3740.0,6194,6194,2454.0,3269.0,3269,3269,3019,3500,Western Canada
13,keystone,Keystone,Colorado,9280.0,9280.0,12282,12616,2361.0,3149.0,3149,3149,2519,4100,Rockies
14,revelstoke,Revelstoke,British Columbia,1680.0,1680.0,7300,7713,5620.0,3121.0,3121,3121,3041,3121,Western Canada
15,winter-park,Winter Park,Colorado,9090.0,9090.0,11986,12060,2896.0,3081.0,3081,3081,2651,4000,Rockies
16,panorama,Panorama,British Columbia,3780.0,3780.0,7760,8038,3980.0,2975.0,2975,2975,2595,2975,Western Canada
17,breckenridge,Breckenridge,Colorado,9570.0,9570.0,12840,13004,3270.0,2908.0,2908,2908,2578,4000,Rockies
18,northstar,Northstar,California,6300.0,6300.0,8610,8610,2310.0,3170.0,2904,2904,2904,2904,Pacific
19,mammoth-mountain,Mammoth Mountain,California,8058.0,8058.0,11058,11058,3000.0,3500.0,2875,2875,2875,2875,Pacific
20,red-mountain,Red Mountain,British Columbia,3812.0,3812.0,6720,6772,2908.0,3850.0,2800,2800,2375,2800,Western Canada
21,big-white,Big White,British Columbia,4960.0,4960.0,7456,7456,2496.0,2800.0,2800,2800,2800,2800,Western Canada
22,heavenly,Heavenly,California,6650.0,6650.0,9960,10064,2710.0,4800.0,2600,2600,2488,2600,Pacific
23,crystal-mountain,Crystal Mountain,Washington,4185.0,4383.0,6985,7012,2602.0,2600.0,2600,2600,1820,2600,Pacific
24,sun-valley-bald-mountain,Sun Valley -- Bald Mountain,Idaho,5760.0,5760.0,9117,9117,3357.0,2563.0,2563,2563,2563,2563,Rockies
25,copper-mountain,Copper Mountain,Colorado,9712.0,9712.0,12340,12495,2603.0,2538.0,2538,2538,2428,3488,Rockies
26,snowbird,Snowbird,Utah,7760.0,7760.0,10962,11490,3202.0,2500.0,2500,2500,2050,2500,Rockies
27,castle-mountain,Castle Mountain,Alberta,4635.0,4635.0,7395,7845,2760.0,3590.0,2350,2350,2000,2350,Western Canada
28,whitefish,Whitefish,Montana,4470.0,4470.0,6767,6767,2297.0,3000.0,2300,2300,2300,2300,Rockies
29,snowbasin,Snowbasin,Utah,6400.0,6400.0,9364,9370,2964.0,3000.0,2175,2175,2085,2175,Rockies
30,jackson-hole,Jackson Hole,Wyoming,6311.0,6311.0,10449,10449,4138.0,2500.0,2170,2170,2030,2170,Rockies
31,schweitzer,Schweitzer,Idaho,4000.0,4000.0,6380,6380,2380.0,2900.0,2160,2160,2160,2160,Rockies
32,mount-hood-meadows,Mount Hood Meadows,Oregon,4520.0,4530.0,7320,9000,2790.0,2150.0,2150,2150,1472,2560,Pacific
33,banff-sunshine,Banff Sunshine,Alberta,5450.0,5450.0,8820,9175,3370.0,3300.0,2125,2125,1752,2125,Western Canada
